profile_gender,profile_age,work_country,work_province,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_specialization_courses,profile_open_source_contributions,profile_programming_as_hobby,work_role,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,tools_IDEs,tools_work_pc_os,tools_cellphone_os,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,work_has_violence_situations,profile_sexual_orientation,profile_has_disabilities,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_recommended,company_diversity_policies,company_extra_benefits,company_best_companies_city
Hombre,37,Argentina,Córdoba,10.0,7.0,7.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,DBA,"AIX, HP-UX, Linux, OpenStack, Solaris, VMWare","Bash/Shell, C++, Java, Python, SQL",Ninguno,"MongoDB, Oracle",Ninguna,Ninguno,Windows,Android,"Sí, pasiva",15.0,Porcentaje de mi sueldo,Full-Time,87000.0,80000.0,,2,1,Un sueldo,Performance de la compañía,No,0.0,0,Jamás,¿Qué les importa?,,,5001-10000,Otras industrias,7,6,"Abono de celular, Abono de Internet, Horarios flexibles",
Hombre,38,Argentina,Córdoba,11.0,2.0,2.0,0,Universitario,En curso,Licenciado en Artes y Tecnologías,UNQ - Universidad Nacional de Quilmes,"Sí, los pagó un empleador",No,Sí,Developer,"Linux, Windows Server","Bash/Shell, C#, CSS, HTML, Java, Javascript, PHP, SQL, VB 6.0",".NET Core, jQuery, Laravel, Slim PHP","MariaDB, Microsoft SQL Server, MySQL",Ninguna,"NetBeans, Notepad++, Vi, Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,36874.0,47950.0,,1,1,No,No recibo bono,Más de tres,50.0,4,En un trabajo anterior,Heterosexual,"Tuve epilepsia de los 6 a las 26, hace 12 años que no presento síntomas. Pero nunca lo consideré una discapacidad.",No,51-100,Producto basado en Software,5,2,Comidas pagas / subvencionadas,"No sabría poner una, conozco personalmente solo dos y ambas tienen un pero que me hace no considerarlas."
Hombre,41,Argentina,Santa Fe,13.0,1.0,1.0,0,Terciario,Incompleto,Analista Universitario de Sistemas,UNR - Universidad Nacional de Rosario,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Developer,Ninguna,".NET, C#, TypeScript",".NET Core, Angular",Microsoft SQL Server,Ninguna,Visual Studio,Windows,Android,No,0.0,Bruto,Full-Time,100000.0,84000.0,,3,3,No,No recibo bono,Uno,9.0,4,Jamás,Heterosexual,,,11-50,Producto basado en Software,7,5,Ninguna de las anteriores,
Hombre,25,Argentina,Neuquén,2.0,0.0,0.0,0,Universitario,En curso,Analista Programador Universitario,UNCOMA - Universidad Nacional del Comahue,"Sí, de forma particular",No,No,SysAdmin / DevOps / SRE,"Docker, Linux, Windows Server",Ninguno,Ninguno,"MySQL, PostgreSQL",Ninguna,"Notepad++, Sublime Text, Visual Studio Code",Windows,Android,"Sí, pasiva",0.0,Porcentaje de mi sueldo,Full-Time,47945.0,38460.0,,3,3,No,No recibo bono,No,0.0,0,En un trabajo anterior,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,6,6,Capacitaciones y/o cursos,
Hombre,23,Argentina,Ciudad Autónoma de Buenos Aires,9.0,0.0,0.0,0,Secundario,Completado,,,No,No,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Docker, Kubernetes, Linux, OpenShift","Bash/Shell, Python",Ninguno,"MariaDB, MySQL","HP LoadRunner, Jmeter","Atom, NetBeans",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,80000.0,66000.0,,2,2,No,No recibo bono,No,0.0,0,En un trabajo anterior,Heterosexual,,,1001-2000,Servicios / Consultoría de Software / Digital,7,10,Ninguna de las anteriores,
Mujer,30,Argentina,Ciudad Autónoma de Buenos Aires,12.0,0.0,4.0,14,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,No,Project Manager,Ninguna,Ninguno,Ninguno,Ninguna,Ninguna,Ninguno,Windows,iOS,No,0.0,Porcentaje de mi sueldo,Full-Time,140000.0,98700.0,Mi sueldo está dolarizado,3,2,Menos de un sueldo,Performance individual,No,0.0,0,En un trabajo anterior,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,8,4,"Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,24,Argentina,Ciudad Autónoma de Buenos Aires,3.0,0.0,0.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,"Sí, de forma particular",Sí,Sí,Developer,Amazon Web Services,"Java, Javascript, Objective-C, TypeScript","Node.js, React.js",Ninguna,"Jest, Mocha",Visual Studio Code,macOS,Android,No,0.0,Bruto,Full-Time,260000.0,200000.0,,4,4,De uno a tres sueldos,Performance de la compañía,Uno,15.0,3,Jamás,Heterosexual,,,11-50,Producto basado en Software,10,8,"Capacitaciones y/o cursos, Horarios flexibles, Licencia de paternidad/maternidad extendida",
Mujer,30,Argentina,Ciudad Autónoma de Buenos Aires,1.0,1.0,1.0,0,Universitario,En curso,Ingeniería en Informática,UNDAV (Universidad Nacional de Avellaneda),"Sí, de forma particular, Sí, los pagó un empleador",No,No,Developer,Ninguna,"CSS, HTML, Javascript","Node.js, React.js",Ninguna,Ninguna,Visual Studio Code,macOS,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,36000.0,31000.0,,2,2,Menos de un sueldo,Performance grupal,Uno,20.0,3,Jamás,Bisexual o queer,,,501-1000,Producto basado en Software,4,6,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas","Southworks, Etermax, Globlalogic"
Mujer,28,Argentina,Ciudad Autónoma de Buenos Aires,9.0,3.0,5.0,0,Universitario,Completado,Licenciatura en Sistemas de Información,UP - Universidad de Palermo,"Sí, de forma particular",No,No,Business Analyst,Ninguna,Ninguno,Ninguno,Ninguna,Ninguna,Ninguno,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,94000.0,74000.0,,3,2,Un sueldo,Performance individual,No,0.0,1,En un trabajo anterior,Homosexual,,No,1001-2000,Producto basado en Software,8,8,"Abono de Internet, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Lactario en la oficina, Licencia de paternidad/maternidad extendida",
Hombre,35,Argentina,GBA,16.0,13.0,4.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,USAL - Universidad del Salvador,"Sí, los pagó un empleador",No,No,SysAdmin / DevOps / SRE,"VMWare, Windows Server",Ninguno,Ninguno,Ninguna,Ninguna,Ninguno,Windows,Android,"Sí, pasiva",0.0,Porcentaje de mi sueldo,Full-Time,123000.0,88900.0,,4,4,De uno a tres sueldos,Mix de las anteriores,Uno,14.0,7,Jamás,Heterosexual,,,201-500,Otras industrias,9,9,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",
Hombre,53,Argentina,GBA,30.0,10.0,10.0,5,Universitario,En curso,Licenciatura en Ciencia de Datos,UNaB,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,SysAdmin / DevOps / SRE,"Docker, Linux, Windows Server","ABAP, Javascript, PHP, Python, SQL","Bootstrap, CodeIgniter, Django, jQuery, SAP","IBM Db2, MySQL, SQLite",PHPUnit,"Vim, Visual Studio Code",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,160000.0,137000.0,,3,1,Menos de un sueldo,Performance de la compañía,Uno,8.0,2,En un trabajo anterior,Heterosexual,,,201-500,Otras industrias,6,1,"Abono de celular, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Mujer,25,Argentina,Ciudad Autónoma de Buenos Aires,2.0,2.0,2.0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,QA / Tester,OpenShift,Javascript,"Node.js, React.js, NextJs",Microsoft SQL Server,"Cucumber, HP UFT, Postman, Selenium","Notepad++, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,56000.0,45000.0,,2,2,No,No recibo bono,Uno,5.0,3,En un trabajo anterior,Heterosexual,,No,201-500,Servicios / Consultoría de Software / Digital,8,10,"Capacitaciones y/o cursos, Horarios flexibles, Sueldo divido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",
Mujer,28,Argentina,Córdoba,4.0,2.0,4.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,"Docker, Windows Server",".NET, C#, PHP, SQL",".NET Core, Bootstrap, Cordova, jQuery, Laravel, Vue.js","Microsoft SQL Server, MySQL, PostgreSQL",Ninguna,"Atom, Eclipse, NetBeans, PHPStorm, Sublime Text, Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,63300.0,51000.0,,2,2,No,No recibo bono,Dos,6.0,3,Jamás,Homosexual,,,51-100,Producto basado en Software,8,8,Licencia de paternidad/maternidad extendida,La empresa en la que me encuentro
