profile_gender,profile_age,work_country,work_province,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_specialization_courses,profile_open_source_contributions,profile_programming_as_hobby,work_role,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,tools_IDEs,tools_work_pc_os,tools_cellphone_os,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,work_has_violence_situations,profile_sexual_orientation,profile_has_disabilities,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_recommended,company_diversity_policies,company_extra_benefits,company_best_companies_city
Hombre,40,Argentina,Ciudad Autónoma de Buenos Aires,20.0,2.0,2.0,5,Secundario,Completado,,,"Sí, de forma particular",No,Sí,Technical Leader,"Docker, Kubernetes, Linux, Serverless, Windows Server",Java,Spring,"MariaDB, MySQL, Redis",JUnit,"Eclipse, Visual Studio Code",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,180000.0,125000.0,,1,1,No,No recibo bono,No,0.0,0,,,,,201-500,Otras industrias,8,10,Horarios flexibles,
Mujer,29,Argentina,Ciudad Autónoma de Buenos Aires,5.0,1.0,1.0,0,Universitario,Completado,Ingeniería en Sistemas de Información,Universidad en el exterior,"Sí, de forma particular",No,Sí,Project Manager,"Azure, SAP, Windows Server",SQL,Ninguno de los anteriores,Oracle,TFS,"Eclipse, NetBeans, Notepad++, Visual Studio",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,65000.0,53250.0,,2,1,No,No recibo bono,No,0.0,0,Jamás,,,,201-500,Servicios / Consultoría de Software / Digital,8,10,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida",Mercadolibre
Mujer,21,Argentina,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,0,Universitario,En curso,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,"Sí, de forma particular",No,No,Developer,Amazon Web Services,Javascript,Node.js,Apache HBase,"Postman, Selenium",Visual Studio Code,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,36500.0,30200.0,,2,2,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,51-100,Servicios / Consultoría de Software / Digital,6,8,Capacitaciones y/o cursos,
Hombre,38,Argentina,Ciudad Autónoma de Buenos Aires,10.0,7.0,3.0,0,Universitario,Completado,-,-,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Analista Técnico Funcional,Windows Server,SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,126299.0,88782.0,,4,3,No,No recibo bono,Tres,20.0,6,En mi trabajo actual,Heterosexual,,,5001-10000,Otras industrias,8,7,Comidas pagas / subvencionadas,
Hombre,29,Argentina,Misiones,6.0,2.0,4.0,2,Universitario,Incompleto,Ingeniería en Informática,UGD,"Sí, de forma particular",Sí,Sí,Developer,"Amazon Web Services, Docker, Firebase, Google Cloud Platform/App Engine, Linux","HTML, Javascript, Python, TypeScript","Angular, Cordova, Django, Flask, Node.js","ElasticSearch, Google Cloud Storage, PostgreSQL","Cypress, Mocha",Visual Studio Code,macOS,Android,No,0.0,Neto,Full-Time,101000.0,90000.0,,2,1,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,1-10,Producto basado en Software,6,9,Ninguna de las anteriores,
Mujer,35,Argentina,Ciudad Autónoma de Buenos Aires,16.0,8.0,7.0,0,Universitario,Incompleto,Ingeniería en Telecomunicaciones,UADE - Universidad Argentina De la Empresa,"Sí, los pagó un empleador",No,No,Business Analyst,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Notepad++,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,89000.0,64000.0,,2,2,De uno a tres sueldos,Performance individual,Uno,12.0,4,En mi trabajo actual,Heterosexual,,,10001+,Otras industrias,8,10,"Abono de celular, Capacitaciones y/o cursos, Clases de gimnasia online, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles",
Mujer,29,Argentina,Ciudad Autónoma de Buenos Aires,3.0,2.0,1.0,0,Terciario,En curso,Analista de Sistemas,ISTEA - Instituto Superior Tecnológico Empresarial Argentino,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,QA / Tester,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,"Notepad++, Sublime Text, Visual Studio",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,40000.0,32500.0,,2,3,No,No recibo bono,Uno,25.0,6,Jamás,Heterosexual,,,10001+,Producto basado en Software,8,10,"Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,21,Argentina,Ciudad Autónoma de Buenos Aires,3.0,1.0,1.0,0,Terciario,En curso,Tecnicatura Superior en Programación,UNSAM - Universidad de San Martín,"Sí, de forma particular",No,No,Developer,Windows Server,".NET, C#, CSS, HTML, Javascript",".NET Core, Bootstrap, jQuery",Microsoft SQL Server,Ninguna de las anteriores,"Notepad++, Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Tercerizado (trabajo a través de consultora o agencia),50000.0,40500.0,,3,3,No,No recibo bono,Uno,25.0,6,Jamás,Heterosexual,,No,5001-10000,Otras industrias,8,10,.,"Galicia, Mercado Libre, Globant, Tarjeta Naranja, Siemens"
Mujer,46,Argentina,Ciudad Autónoma de Buenos Aires,24.0,13.0,4.0,0,Universitario,Completado,Licenciatura en Sistemas de Información,UADE - Universidad Argentina De la Empresa,"Sí, los pagó un empleador",No,No,Consultant,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,Windows,Android,No,0.0,Bruto,Full-Time,138000.0,100000.0,,4,3,De uno a tres sueldos,Mix de las anteriores,Dos,18.0,5,En mi trabajo actual,Heterosexual,,,10001+,Otras industrias,9,8,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida",
Hombre,30,Argentina,Ciudad Autónoma de Buenos Aires,10.0,3.0,3.0,0,Universitario,Completado,Ingeniería en Sistemas de Información,UCAECE - Centro de Altos Estudios en Ciencias Exactas,"Sí, de forma particular",No,Sí,Developer,"Amazon Web Services, Linux","Python, Smalltalk",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,Windows,Android,"Sí, activa",0.0,Porcentaje de mi sueldo,Full-Time,150000.0,110000.0,,2,1,De uno a tres sueldos,Mix de las anteriores,Dos,26.0,7,En un trabajo anterior,Heterosexual,,,10001+,Otras industrias,10,10,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad / posgrados, Horarios flexibles, Licencia de paternidad/maternidad extendida",
Hombre,36,Argentina,Ciudad Autónoma de Buenos Aires,2.0,2.0,2.0,0,Universitario,En curso,Licenciatura en Sistemas de Información,UADE - Universidad Argentina De la Empresa,No,Sí,No,BI Analyst / Data Analyst,Ninguna de las anteriores,HTML,Drupal,Oracle,Ninguna de las anteriores,Ninguno de los anteriores,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,120000.0,95000.0,,3,2,No,No recibo bono,No,10.0,6,En un trabajo anterior,,,,51-100,Otras industrias,7,8,"Comidas pagas / subvencionadas, Horarios flexibles",
Mujer,31,Argentina,Ciudad Autónoma de Buenos Aires,11.0,2.0,2.0,8,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,No,No,Manager / Director,"Amazon Web Services, Docker, Linux, Serverless","CSS, HTML, Javascript, SQL, Typescript ","Node.js, React.js","Amazon RDS/Aurora, MySQL","Jest, Mocha","Vim, Visual Studio Code",macOS,iOS,No,0.0,Bruto,Full-Time,183000.0,,,3,2,No,No recibo bono,Uno,14.0,6,Jamás,Heterosexual,,,11-50,Producto basado en Software,8,10,"Horarios flexibles, Lactario en la oficina, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,27,Argentina,Provincia de Buenos Aires,0.0,0.0,0.0,0,Universitario,En curso,Analista de Sistemas,USAL - Universidad del Salvador,"Sí, de forma particular",No,Sí,Developer,Ninguna de las anteriores,"CSS, HTML, Java, Javascript","Bootstrap, React.js",Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,Windows,iOS,No,0.0,Bruto,Full-Time,42000.0,35000.0,,2,2,No,Performance de la compañía,Uno,12.0,7,Jamás,Heterosexual,,,11-50,Producto basado en Software,9,9,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",startups con buena onda
Hombre,47,Argentina,Ciudad Autónoma de Buenos Aires,25.0,6.0,6.0,0,Secundario,Incompleto,,,"Sí, de forma particular",No,No,HelpDesk,Google Cloud Platform/App Engine,PHP,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,Ninguno de los anteriores,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,40000.0,35000.0,,1,1,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,1-10,Otras industrias,5,9,"Horarios flexibles, Viáticos",
Hombre,37,Argentina,GBA,6.0,1.0,5.0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UNLaM - Universidad Nacional de La Matanza,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Developer,"Docker, Windows Server",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap, jQuery","Microsoft SQL Server, MongoDB",NUnit,"Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Bruto,Full-Time,109000.0,85000.0,,3,2,No,No recibo bono,Uno,25.0,1,Jamás,Heterosexual,,No,1-10,Servicios / Consultoría de Software / Digital,5,3,Comidas pagas / subvencionadas,
Hombre,39,Argentina,Ciudad Autónoma de Buenos Aires,8.0,0.0,8.0,0,Posgrado,Completado,Ingeniería en Informática,UCA - Universidad Católica Argentina,"Sí, de forma particular",No,Sí,Business Analyst,"Amazon Web Services, Azure, Linux","HTML, Javascript, SQL","Drupal, jQuery","PostgreSQL, SQLite","Cucumber, Selenium","Notepad++, Visual Studio",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,177000.0,120000.0,,3,3,No,No recibo bono,Dos,25.0,4,Jamás,¿Qué les importa?,,,201-500,Producto basado en Software,5,8,"Clases de idiomas, Licencia de paternidad/maternidad extendida",
Hombre,30,Argentina,Santa Fe,4.0,0.0,3.0,0,Universitario,Completado,Ingeniería en Informática,UNL - Universidad Nacional del Litoral,"Sí, de forma particular",No,No,Developer,"Amazon Web Services, Docker, Google Cloud Platform/App Engine, Linux","Java, Javascript, Python","Spark, Spring","ElasticSearch, MySQL",JUnit,"IntelliJ, Visual Studio Code",macOS,Android,"Sí, pasiva",0.0,Neto,Full-Time,137000.0,97000.0,,2,2,De uno a tres sueldos,Mix de las anteriores,Uno,25.0,1,Jamás,Heterosexual,,No,5001-10000,Producto basado en Software,7,8,"Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas",
Hombre,44,Argentina,Ciudad Autónoma de Buenos Aires,25.0,4.0,4.0,0,Terciario,Completado,Analista de Sistemas,ORT,"Sí, de forma particular, Sí, los pagó un empleador",No,No,SysAdmin / DevOps / SRE,"Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,Windows,Android,"Sí, activa",12000.0,Porcentaje de mi sueldo,Full-Time,100000.0,90000.0,,3,2,No,No recibo bono,Dos,30.0,7,Jamás,,,,501-1000,Otras industrias,5,7,"Abono de celular, Clases de gimnasia online, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,37,Argentina,Santa Fe,12.0,5.0,5.0,0,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,"Amazon Web Services, Linux","CSS, HTML, Javascript, PHP, SQL","Drupal, jQuery","MariaDB, Redis",Ninguna de las anteriores,"NetBeans, Notepad++, Sublime Text, Vim, Visual Studio Code",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Freelance,171000.0,171000.0,,3,3,No,No recibo bono,Uno,30.0,6,En un trabajo anterior,Heterosexual,,,201-500,Servicios / Consultoría de Software / Digital,9,9,Capacitaciones y/o cursos,
Hombre,37,Argentina,Ciudad Autónoma de Buenos Aires,10.0,10.0,3.0,3,Universitario,Completado,Ingeniería en Sistemas de Información,UNLP - Universidad Nacional de La Plata,"Sí, los pagó un empleador",No,No,Data Scientist / Data Engineer,"Kubernetes, Linux","Bash/Shell, Python, SQL","Hadoop, Spark","Apache Hive, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Oracle, Teradata",Ninguna de las anteriores,"IPython / Jupyter, Notepad++, Sublime Text",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,105000.0,75000.0,,2,2,De uno a tres sueldos,Performance de la compañía,No,0.0,1,Jamás,Heterosexual,,,2001-5000,Servicios / Consultoría de Software / Digital,8,10,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",
Mujer,28,Argentina,Ciudad Autónoma de Buenos Aires,3.0,2.0,0.0,0,Terciario,Incompleto,,,"Sí, de forma particular",No,Sí,Developer,Ninguna de las anteriores,"CSS, HTML, Javascript","Node.js, React.js, Backbone",Ninguna de las anteriores,"Cucumber, Jest, Postman, Selenium",Visual Studio Code,macOS,Android,"Sí, pasiva",0.0,Porcentaje de mi sueldo,Full-Time,120000.0,,,3,3,Un sueldo,Mix de las anteriores,Uno,34.0,3,En mi trabajo actual,Bisexual o queer,,,5001-10000,Producto basado en Software,7,5,"Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)",
Hombre,39,Argentina,Ciudad Autónoma de Buenos Aires,17.0,10.0,3.0,4,Posgrado,Completado,Licenciatura en Sistemas de Información,UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Manager / Director,"Amazon Web Services, Azure, Linux, Windows Server",".NET, HTML, Javascript","Angular, Drupal, React.js, WordPress, Umbraco","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,"Notepad++, Visual Studio",macOS,Android,"Sí, pasiva",0.0,Neto,Full-Time,125000.0,105000.0,,1,1,De uno a tres sueldos,Mix de las anteriores,Uno,3.0,1,Jamás,Heterosexual,,,10001+,Otras industrias,8,8,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,39,Argentina,Ciudad Autónoma de Buenos Aires,20.0,5.0,5.0,30,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",Sí,Sí,VP / C-Level,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,macOS,Android,No,0.0,Bruto,Full-Time,370000.0,270000.0,,4,4,3+ sueldos,Performance de la compañía,Uno,20.0,7,Jamás,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,10,10,"Abono de Internet, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,29,Argentina,Río Negro,11.0,7.0,7.0,0,Universitario,Incompleto,Ingeniería en Informática,UFASTA - Fraternidad de Agrupaciones Santo Tomás de Aquino,No,Sí,Sí,Developer,Linux,"Javascript, Python, TypeScript","Angular, Cordova, Node.js, React.js, Svelte","ElasticSearch, MariaDB, MongoDB, MySQL",Ninguna de las anteriores,"Nano, Visual Studio Code",macOS,Android,No,0.0,Neto,Full-Time,96000.0,92000.0,,4,4,No,No recibo bono,Uno,15.0,2,Jamás,Heterosexual,,,1-10,Servicios / Consultoría de Software / Digital,10,10,"Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,39,Argentina,GBA,13.0,0.0,0.0,0,Universitario,Completado,Ingeniería en Informática,UCAECE - Centro de Altos Estudios en Ciencias Exactas,"Sí, de forma particular",No,Sí,Data Scientist / Data Engineer,Amazon Web Services,"Python, Scala, SQL",Spark,Databricks,Ninguna de las anteriores,Ninguno de los anteriores,Windows,Android,"Sí, activa",10000.0,Bruto,Full-Time,230000.0,160000.0,,3,3,Menos de un sueldo,Mix de las anteriores,Uno,32.0,3,Jamás,¿Qué les importa?,,,101-200,Producto basado en Software,9,9,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Mujer,29,Argentina,Ciudad Autónoma de Buenos Aires,2.0,2.0,2.0,0,Terciario,En curso,Analista de Sistemas,ORT,"Sí, de forma particular",No,Sí,Developer,Amazon Web Services,"CSS, HTML, Javascript",jQuery,Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,macOS,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,62000.0,56000.0,,1,1,No,No recibo bono,Uno,3.0,7,En mi trabajo actual,Heterosexual,,,51-100,Otras industrias,1,1,Ninguna de las anteriores,"Es dificil porque de todas escuché cosas terribles, pero podría decir Medallia."
Hombre,25,Argentina,Córdoba,3.0,3.0,3.0,0,Secundario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,No,No,Developer,Windows Server,".NET, C#, Javascript, TypeScript",".NET Core, Angular, Bootstrap, jQuery, Vue.js",Microsoft SQL Server,SoapUI,"Notepad++, Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,65000.0,55000.0,,2,2,No,No recibo bono,Dos,8.0,5,Jamás,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,7,7,Clases de idiomas,
Hombre,50,Argentina,Neuquén,30.0,18.0,18.0,0,Terciario,Incompleto,Analista Programador,Instituto Tecnológico del Sur,"Sí, de forma particular",No,Sí,Project Manager,Linux,"HTML, Javascript, PHP, SQL","Bootstrap, jQuery, Zend",PostgreSQL,Ninguna de las anteriores,NetBeans,GNU/Linux,Android,No,0.0,Neto,Freelance,130000.0,115000.0,,3,3,No,No recibo bono,Dos,45.0,7,Jamás,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,10,10,Ninguna de las anteriores,
Hombre,39,Argentina,Provincia de Buenos Aires,14.0,5.0,3.0,1,Universitario,Completado,Ingeniería en Computación,UNS - Universidad Nacional del Sur,"Sí, de forma particular",No,No,Technical Leader,"Amazon Web Services, Docker",".NET, C#, Python, SQL",".NET Core, Node.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server","Jest, Selenium","Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,120000.0,93000.0,,3,4,De uno a tres sueldos,Mix de las anteriores,Uno,13.0,4,Jamás,Heterosexual,Visual,No,11-50,Servicios / Consultoría de Software / Digital,8,10,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,5.0,0.0,0.0,0,Universitario,En curso,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,No,No,No,Developer,"Amazon Web Services, Docker, Kubernetes",Java,Spring,Ninguna de las anteriores,Ninguna de las anteriores,"IntelliJ, Visual Studio Code",macOS,iOS,No,0.0,Bruto,Full-Time,129000.0,105000.0,,3,3,De uno a tres sueldos,Performance de la compañía,Dos,17.0,7,En un trabajo anterior,Heterosexual,,,201-500,Producto basado en Software,9,10,"Capacitaciones y/o cursos, Clases de gimnasia online, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,25,Argentina,Ciudad Autónoma de Buenos Aires,3.0,0.0,0.0,0,Universitario,En curso,Licenciatura en Informática,UNQ - Universidad Nacional de Quilmes,"Sí, de forma particular",No,Sí,Developer,Linux,"Java, Javascript","Angular, Bootstrap, Hibernate, Spring","MySQL, Oracle",JUnit,"Eclipse, IntelliJ, Visual Studio Code",GNU/Linux,Android,No,0.0,Bruto,Full-Time,75000.0,62500.0,,3,3,No,No recibo bono,No,0.0,0,En un trabajo anterior,Heterosexual,,No,201-500,Servicios / Consultoría de Software / Digital,7,5,"Capacitaciones y/o cursos, Clases de idiomas, Estacionamiento gratuito / subvencionado",
Hombre,25,Argentina,Santa Fe,4.0,1.0,1.0,0,Posgrado,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Data Scientist / Data Engineer,"Linux, PBI Service","Bash/Shell, Python, SQL","Django, Flask, TensorFlow, Torch","Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,"IPython / Jupyter, PyCharm, Vim, Visual Studio Code",GNU/Linux,iOS,No,0.0,Porcentaje de mi sueldo,Full-Time,80000.0,65000.0,,3,3,No,No recibo bono,Dos,15.0,7,Jamás,Heterosexual,,,201-500,Otras industrias,7,5,"Capacitaciones y/o cursos, Clases de idiomas, Prestigio?","Primary, San Cristobal, empredimientos mas chicos"
Hombre,38,Argentina,Ciudad Autónoma de Buenos Aires,14.0,14.0,8.0,1,Universitario,Incompleto,Licenciatura en Informática,UCAECE - Centro de Altos Estudios en Ciencias Exactas,No,No,No,HelpDesk,"Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,85516.0,70978.0,,3,2,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,201-500,Otras industrias,7,6,"Abono de celular, Comidas pagas / subvencionadas",
Hombre,45,Argentina,Córdoba,23.0,23.0,23.0,10,Terciario,Incompleto,Analista de Computación,Int. 25 de mayo,"Sí, de forma particular",No,Sí,BI Analyst / Data Analyst,Windows Server,"Python, SQL",TensorFlow,"IBM Db2, Microsoft SQL Server",Ninguna de las anteriores,IPython / Jupyter,Windows,Android,No,0.0,Bruto,Full-Time,125000.0,95000.0,,3,2,De uno a tres sueldos,Mix de las anteriores,Uno,20.0,5,Jamás,Heterosexual,,,2001-5000,Otras industrias,9,4,"Abono de celular, Capacitaciones y/o cursos",Santex
Hombre,36,Argentina,Entre Ríos,14.0,9.0,9.0,0,Universitario,Incompleto,Ingeniería en Informática,UCA - Universidad Católica Argentina,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Linux, VMWare, Windows Server","Bash/Shell, HTML",WordPress,"Microsoft SQL Server, Oracle",Ninguna de las anteriores,"Eclipse, Notepad++, Visual Studio Code",Windows,Android,"Sí, pasiva",0.0,Bruto,Freelance,60000.0,55000.0,,2,1,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,Auditiva,No,1-10,Servicios / Consultoría de Software / Digital,10,10,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",Tecso
Mujer,23,Argentina,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,0,Universitario,En curso,Ingeniería en Informática,ITBA - Instituto Tecnológico de Buenos Aires,No,No,Sí,Developer,"Amazon Web Services, Linux","Javascript, SQL","Node.js, React.js",Amazon DynamoDB,Ninguna de las anteriores,Visual Studio Code,GNU/Linux,iOS,No,0.0,Neto,Part-Time,25000.0,23000.0,Mi sueldo está dolarizado,2,3,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,1-10,Producto basado en Software,5,10,Ninguna de las anteriores,"Mercado Libre, Globant"
Hombre,40,Argentina,Ciudad Autónoma de Buenos Aires,15.0,9.0,1.0,0,Universitario,Completado,Licenciatura en Sistemas de Información,UBA - Universidad de Buenos Aires,"Sí, los pagó un empleador",No,No,Infosec,"Amazon Web Services, Azure, Docker, Google Cloud Platform/App Engine, Kubernetes, Linux, OpenShift, OpenStack, Serverless, VMWare, Windows Server","Bash/Shell, Python, SQL",Ninguno de los anteriores,"ElasticSearch, MariaDB, Microsoft SQL Server, MongoDB, MySQL, Oracle, PostgreSQL, SQLite",Ninguna de las anteriores,"Nano, Notepad++, Vi, Vim, Visual Studio Code",Windows,Android,"Sí, pasiva",0.0,Bruto,Full-Time,180000.0,114000.0,,3,3,No,No recibo bono,Uno,30.0,2,Jamás,Heterosexual,,,101-200,Servicios / Consultoría de Software / Digital,6,8,"Abono de celular, Clases de idiomas, Horarios flexibles","MercadoLibre, Onapsis"
Hombre,41,Argentina,Chaco,14.0,13.0,12.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,No,SysAdmin / DevOps / SRE,"Linux, Windows Server","Bash/Shell, Python, SQL, Powershell",Ninguno de los anteriores,"ElasticSearch, MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,"Nano, Notepad++, Vi, Vim",Windows,Android,"Sí, activa",0.0,Neto,Full-Time,73000.0,56000.0,,1,2,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,No ,No,1001-2000,Otras industrias,8,9,Ninguna de las anteriores,
Hombre,29,Argentina,GBA,2.0,2.0,3.0,0,Secundario,Completado,Tecnico,instituto madero,"Sí, de forma particular",No,Sí,UX,"OpenStack, SAP",CSS,"SwiftUI, SAP","Microsoft SQL Server, MongoDB","Visual Studio Coded UI, Ninguna de las anteriores","Visual Studio Code, Zend",macOS,iOS,"Sí, pasiva",500.0,Neto,Full-Time,2000.0,2000.0,,2,2,No,Mix de las anteriores,Tres,5.0,1,Jamás,¿Qué les importa?,,Sí,1-10,Otras industrias,9,8,"Clases de idiomas, Comidas pagas / subvencionadas",gobierno
